transaction_id,order_id,merchant_id,customer_id,transaction_date,transaction_timestamp,transaction_status,payment_method,order_amount,customer_paid_amount,merchant_received_amount,tabby_fee_amount,installment_plan,first_installment_amount,subsequent_installment_amount,authorization_to_capture_hours,capture_to_settlement_hours,risk_score,is_fraudulent
TXN_00004874,ORD_00004874,MERCH_0039,CUST_004770,2024-04-04,2024-04-04 10:57:28,settled,card,289.96,289.96,281.03,8.93,,,,1.96,15.6,0.021,False
TXN_00004875,ORD_00004875,MERCH_0037,CUST_001429,2024-03-02,2024-03-02 15:00:11,refunded,card,50.0,50.0,47.85,2.15,,,,,,0.207,False
TXN_00004876,ORD_00004876,MERCH_0004,CUST_002713,2024-05-17,2024-05-17 15:04:10,settled,bnpl_4installments,188.81,188.81,179.88,8.93,4.0,47.2,47.2,0.87,31.5,0.344,False
TXN_00004877,ORD_00004877,MERCH_0039,CUST_003839,2024-01-19,2024-01-19 11:42:57,settled,bnpl_4installments,54.34,54.34,52.67,1.67,4.0,13.59,13.59,1.61,29.56,0.264,False
TXN_00004878,ORD_00004878,MERCH_0032,CUST_000922,2024-03-25,2024-03-25 20:33:58,settled,bnpl_3installments,339.63,339.63,330.8,8.83,3.0,113.21,113.21,0.14,2.66,0.155,False
TXN_00004879,ORD_00004879,MERCH_0021,CUST_001133,2024-05-19,2024-05-19 11:31:45,settled,bnpl_4installments,191.05,191.05,184.99,6.06,4.0,47.76,47.76,1.89,8.76,0.285,False
TXN_00004880,ORD_00004880,MERCH_0034,CUST_001991,2024-04-14,2024-04-14 17:35:58,settled,bnpl_3installments,50.0,50.0,47.78,2.22,3.0,16.67,16.67,0.75,42.9,0.08,False
TXN_00004881,ORD_00004881,MERCH_0007,CUST_001104,2024-04-07,2024-04-07 10:09:01,settled,card,50.0,50.0,48.53,1.47,,,,0.98,35.48,0.289,False
TXN_00004882,ORD_00004882,MERCH_0004,CUST_004490,2024-03-28,2024-03-28 20:23:25,settled,card,75.15,75.15,71.6,3.55,,,,1.94,43.87,0.455,False
TXN_00004883,ORD_00004883,MERCH_0003,CUST_002174,2024-03-19,2024-03-19 11:11:02,settled,bnpl_4installments,50.0,50.0,48.95,1.05,4.0,12.5,12.5,0.17,1.6,0.521,False
TXN_00004884,ORD_00004884,MERCH_0039,CUST_003815,2024-02-28,2024-02-28 20:35:31,settled,bnpl_4installments,58.68,58.68,56.87,1.81,4.0,14.67,14.67,1.62,46.62,0.315,False
TXN_00004885,ORD_00004885,MERCH_0037,CUST_003592,2024-05-08,2024-05-08 16:32:32,settled,bnpl_4installments,775.79,775.79,742.35,33.44,4.0,193.95,193.95,1.13,1.62,0.328,False
TXN_00004886,ORD_00004886,MERCH_0024,CUST_004214,2024-02-07,2024-02-07 13:43:13,failed,card,714.55,714.55,692.61,21.94,,,,,,0.407,False
TXN_00004887,ORD_00004887,MERCH_0035,CUST_003231,2024-04-14,2024-04-14 13:11:15,settled,bnpl_4installments,370.09,370.09,354.84,15.25,4.0,92.52,92.52,0.85,38.41,0.327,False
TXN_00004888,ORD_00004888,MERCH_0003,CUST_001655,2024-05-19,2024-05-19 22:03:51,settled,card,133.49,133.49,130.69,2.8,,,,1.34,8.54,0.0,False
TXN_00004889,ORD_00004889,MERCH_0016,CUST_003178,2024-04-23,2024-04-23 08:17:19,settled,card,372.61,372.61,354.84,17.77,,,,1.06,2.13,0.194,False
TXN_00004890,ORD_00004890,MERCH_0037,CUST_004701,2024-05-01,2024-05-01 18:05:52,settled,bnpl_4installments,200.96,200.96,192.3,8.66,4.0,50.24,50.24,1.36,43.46,0.0,False
TXN_00004891,ORD_00004891,MERCH_0005,CUST_002842,2024-05-22,2024-05-22 13:07:29,settled,bnpl_4installments,81.02,81.02,78.77,2.25,4.0,20.25,20.25,0.52,14.05,0.515,False
TXN_00004892,ORD_00004892,MERCH_0014,CUST_004674,2024-02-19,2024-02-19 21:55:10,captured,bnpl_3installments,278.8,278.8,265.75,13.05,3.0,92.93,92.93,0.28,,0.099,False
TXN_00004893,ORD_00004893,MERCH_0006,CUST_000188,2024-04-10,2024-04-10 22:59:55,failed,bnpl_4installments,83.77,83.77,80.43,3.34,4.0,20.94,20.94,,,0.355,False
TXN_00004894,ORD_00004894,MERCH_0037,CUST_001372,2024-04-15,2024-04-15 20:09:41,settled,bnpl_3installments,54.19,54.19,51.85,2.34,3.0,18.06,18.06,0.82,5.52,0.0,False
TXN_00004895,ORD_00004895,MERCH_0038,CUST_002853,2024-02-09,2024-02-09 20:59:46,settled,card,122.43,122.43,119.71,2.72,,,,1.24,34.08,0.298,False
TXN_00004896,ORD_00004896,MERCH_0020,CUST_001629,2024-02-22,2024-02-22 18:01:05,settled,bnpl_4installments,264.17,264.17,256.3,7.87,4.0,66.04,66.04,0.56,45.98,0.311,False
TXN_00004897,ORD_00004897,MERCH_0033,CUST_001580,2024-01-13,2024-01-13 15:17:41,settled,bnpl_3installments,311.8,311.8,305.5,6.3,3.0,103.93,103.93,1.4,42.3,0.343,False
TXN_00004898,ORD_00004898,MERCH_0013,CUST_000041,2024-06-11,2024-06-11 08:39:52,settled,bnpl_4installments,100.5,100.5,95.66,4.84,4.0,25.12,25.12,0.41,36.71,0.291,False
TXN_00004899,ORD_00004899,MERCH_0006,CUST_001724,2024-02-07,2024-02-07 17:26:30,settled,card,164.14,164.14,157.59,6.55,,,,0.67,15.0,0.506,False
TXN_00004900,ORD_00004900,MERCH_0006,CUST_004987,2024-03-22,2024-03-22 18:37:31,settled,bnpl_4installments,73.82,73.82,70.87,2.95,4.0,18.45,18.45,0.41,25.81,0.134,False
TXN_00004901,ORD_00004901,MERCH_0004,CUST_001237,2024-01-30,2024-01-30 09:09:25,captured,bnpl_3installments,60.86,60.86,57.98,2.88,3.0,20.29,20.29,1.15,,0.294,True
TXN_00004902,ORD_00004902,MERCH_0014,CUST_001290,2024-04-02,2024-04-02 19:09:07,settled,card,61.92,61.92,59.02,2.9,,,,0.87,32.87,0.511,False
TXN_00004903,ORD_00004903,MERCH_0030,CUST_003360,2024-03-06,2024-03-06 09:55:43,settled,bnpl_4installments,50.0,50.0,47.52,2.48,4.0,12.5,12.5,0.87,11.03,0.442,False
TXN_00004904,ORD_00004904,MERCH_0009,CUST_000439,2024-04-17,2024-04-17 15:48:42,failed,bnpl_4installments,90.05,90.05,86.77,3.28,4.0,22.51,22.51,,,0.447,False
TXN_00004905,ORD_00004905,MERCH_0006,CUST_000950,2024-02-04,2024-02-04 09:38:49,settled,bnpl_4installments,131.62,131.62,126.37,5.25,4.0,32.91,32.91,1.77,26.8,0.758,False
TXN_00004906,ORD_00004906,MERCH_0007,CUST_001061,2024-03-30,2024-03-30 09:24:25,refunded,bnpl_4installments,97.11,97.11,94.25,2.86,4.0,24.28,24.28,,,0.404,False
TXN_00004907,ORD_00004907,MERCH_0008,CUST_000262,2024-01-30,2024-01-30 22:11:02,settled,card,142.29,142.29,137.22,5.07,,,,1.52,34.58,0.245,False
TXN_00004908,ORD_00004908,MERCH_0022,CUST_004335,2024-04-27,2024-04-27 15:08:46,settled,card,171.82,171.82,166.99,4.83,,,,0.9,40.47,0.531,False
TXN_00004909,ORD_00004909,MERCH_0016,CUST_001622,2024-05-18,2024-05-18 20:28:59,settled,card,542.24,542.24,516.38,25.86,,,,0.76,35.91,0.144,False
TXN_00004910,ORD_00004910,MERCH_0014,CUST_000304,2024-02-11,2024-02-11 22:39:47,settled,bnpl_3installments,50.0,50.0,47.66,2.34,3.0,16.67,16.67,1.7,35.47,0.81,False
TXN_00004911,ORD_00004911,MERCH_0028,CUST_003116,2024-04-12,2024-04-12 12:36:12,settled,bnpl_4installments,356.37,356.37,340.65,15.72,4.0,89.09,89.09,1.64,24.57,0.282,False
TXN_00004912,ORD_00004912,MERCH_0001,CUST_001466,2024-05-19,2024-05-19 13:13:34,settled,bnpl_3installments,155.88,155.88,152.19,3.69,3.0,51.96,51.96,1.75,36.63,0.201,False
TXN_00004913,ORD_00004913,MERCH_0020,CUST_004268,2024-03-22,2024-03-22 15:41:56,settled,bnpl_3installments,171.64,171.64,166.53,5.11,3.0,57.21,57.21,0.3,41.91,0.387,False
TXN_00004914,ORD_00004914,MERCH_0019,CUST_001443,2024-03-04,2024-03-04 09:09:48,settled,card,50.0,50.0,48.93,1.07,,,,1.42,14.85,0.15,False
TXN_00004915,ORD_00004915,MERCH_0002,CUST_004575,2024-04-01,2024-04-01 09:05:18,settled,card,134.09,134.09,129.41,4.68,,,,0.67,3.91,0.023,False
TXN_00004916,ORD_00004916,MERCH_0034,CUST_001152,2024-02-11,2024-02-11 18:25:40,settled,bnpl_4installments,268.51,268.51,256.56,11.95,4.0,67.13,67.13,0.33,8.28,0.399,False
TXN_00004917,ORD_00004917,MERCH_0001,CUST_004723,2024-03-09,2024-03-09 22:21:55,settled,bnpl_4installments,150.27,150.27,146.71,3.56,4.0,37.57,37.57,0.86,22.11,0.459,False
TXN_00004918,ORD_00004918,MERCH_0010,CUST_004886,2024-04-13,2024-04-13 18:20:08,settled,card,164.41,164.41,160.22,4.19,,,,1.77,4.03,0.431,False
TXN_00004919,ORD_00004919,MERCH_0002,CUST_004845,2024-04-16,2024-04-16 12:24:08,settled,bnpl_4installments,139.5,139.5,134.63,4.87,4.0,34.88,34.88,0.66,30.99,0.126,False
TXN_00004920,ORD_00004920,MERCH_0024,CUST_002867,2024-03-18,2024-03-18 11:44:54,settled,bnpl_3installments,54.02,54.02,52.36,1.66,3.0,18.01,18.01,1.06,37.93,0.312,False
TXN_00004921,ORD_00004921,MERCH_0005,CUST_000011,2024-04-08,2024-04-08 19:24:53,settled,bnpl_4installments,333.9,333.9,324.62,9.28,4.0,83.47,83.47,0.54,39.79,0.411,False
TXN_00004922,ORD_00004922,MERCH_0037,CUST_004885,2024-03-24,2024-03-24 20:59:13,settled,bnpl_4installments,166.61,166.61,159.43,7.18,4.0,41.65,41.65,0.6,6.65,0.192,False
TXN_00004923,ORD_00004923,MERCH_0038,CUST_004068,2024-03-02,2024-03-02 13:08:49,captured,bnpl_4installments,198.01,198.01,193.61,4.4,4.0,49.5,49.5,1.86,,0.3,False
TXN_00004924,ORD_00004924,MERCH_0007,CUST_001875,2024-03-08,2024-03-08 21:01:49,settled,bnpl_4installments,52.21,52.21,50.68,1.53,4.0,13.05,13.05,0.1,42.75,0.348,False
TXN_00004925,ORD_00004925,MERCH_0018,CUST_001563,2024-04-27,2024-04-27 15:07:09,settled,bnpl_4installments,63.3,63.3,61.66,1.64,4.0,15.82,15.82,1.41,12.87,0.289,True
TXN_00004926,ORD_00004926,MERCH_0036,CUST_002676,2024-03-27,2024-03-27 14:59:22,settled,bnpl_3installments,82.48,82.48,79.02,3.46,3.0,27.49,27.49,1.1,7.53,0.273,False
TXN_00004927,ORD_00004927,MERCH_0020,CUST_001068,2024-03-03,2024-03-03 16:23:24,settled,bnpl_4installments,401.75,401.75,389.78,11.97,4.0,100.44,100.44,0.56,44.34,0.005,False
TXN_00004928,ORD_00004928,MERCH_0017,CUST_000614,2024-06-02,2024-06-02 11:54:01,settled,bnpl_4installments,96.69,96.69,94.5,2.19,4.0,24.17,24.17,0.88,15.73,0.336,False
TXN_00004929,ORD_00004929,MERCH_0010,CUST_000211,2024-03-10,2024-03-10 22:47:49,settled,card,275.04,275.04,268.03,7.01,,,,1.44,25.51,0.104,False
TXN_00004930,ORD_00004930,MERCH_0004,CUST_003461,2024-06-12,2024-06-12 10:30:59,settled,bnpl_3installments,75.97,75.97,72.38,3.59,3.0,25.32,25.32,1.42,39.16,0.63,False
TXN_00004931,ORD_00004931,MERCH_0011,CUST_003927,2024-03-07,2024-03-07 09:23:39,settled,bnpl_3installments,148.2,148.2,140.92,7.28,3.0,49.4,49.4,1.71,38.33,0.171,False
TXN_00004932,ORD_00004932,MERCH_0018,CUST_000495,2024-03-08,2024-03-08 11:35:31,settled,bnpl_4installments,96.92,96.92,94.41,2.51,4.0,24.23,24.23,1.43,29.37,0.551,False
TXN_00004933,ORD_00004933,MERCH_0004,CUST_003630,2024-05-20,2024-05-20 10:38:39,settled,bnpl_3installments,211.21,211.21,201.22,9.99,3.0,70.4,70.4,0.19,23.44,0.525,False
TXN_00004934,ORD_00004934,MERCH_0028,CUST_003492,2024-02-09,2024-02-09 19:46:05,settled,bnpl_4installments,242.7,242.7,232.0,10.7,4.0,60.67,60.67,1.09,6.61,0.323,False
TXN_00004935,ORD_00004935,MERCH_0027,CUST_001870,2024-03-21,2024-03-21 21:37:01,settled,bnpl_3installments,359.52,359.52,350.82,8.7,3.0,119.84,119.84,0.48,44.41,0.484,False
TXN_00004936,ORD_00004936,MERCH_0019,CUST_004351,2024-03-09,2024-03-09 10:08:55,settled,bnpl_4installments,154.35,154.35,151.05,3.3,4.0,38.59,38.59,1.36,39.18,0.346,False
TXN_00004937,ORD_00004937,MERCH_0022,CUST_002617,2024-04-15,2024-04-15 18:57:06,failed,bnpl_4installments,126.68,126.68,123.12,3.56,4.0,31.67,31.67,,,0.463,False
TXN_00004938,ORD_00004938,MERCH_0001,CUST_001818,2024-05-31,2024-05-31 12:55:10,settled,bnpl_3installments,50.0,50.0,48.82,1.18,3.0,16.67,16.67,0.56,27.0,0.0,False
TXN_00004939,ORD_00004939,MERCH_0019,CUST_000266,2024-03-09,2024-03-09 19:45:55,failed,card,234.58,234.58,229.56,5.02,,,,,,0.303,False
TXN_00004940,ORD_00004940,MERCH_0002,CUST_002976,2024-02-26,2024-02-26 11:03:07,captured,bnpl_4installments,121.09,121.09,116.86,4.23,4.0,30.27,30.27,1.84,,0.452,False
TXN_00004941,ORD_00004941,MERCH_0032,CUST_004624,2024-03-15,2024-03-15 22:57:25,settled,card,259.23,259.23,252.49,6.74,,,,0.81,5.13,0.401,False
TXN_00004942,ORD_00004942,MERCH_0029,CUST_003020,2024-04-02,2024-04-02 22:49:40,settled,bnpl_3installments,333.75,333.75,326.34,7.41,3.0,111.25,111.25,0.32,42.14,0.393,False
TXN_00004943,ORD_00004943,MERCH_0020,CUST_000532,2024-03-28,2024-03-28 14:57:50,settled,bnpl_4installments,121.44,121.44,117.82,3.62,4.0,30.36,30.36,0.56,47.35,0.496,False
TXN_00004944,ORD_00004944,MERCH_0023,CUST_003048,2024-06-02,2024-06-02 13:28:37,settled,card,284.56,284.56,271.78,12.78,,,,1.74,46.41,0.085,False
TXN_00004945,ORD_00004945,MERCH_0012,CUST_002017,2024-05-14,2024-05-14 12:27:53,settled,bnpl_3installments,146.96,146.96,140.6,6.36,3.0,48.99,48.99,0.91,23.14,0.367,False
TXN_00004946,ORD_00004946,MERCH_0007,CUST_001122,2024-02-11,2024-02-11 12:30:53,settled,bnpl_4installments,85.07,85.07,82.57,2.5,4.0,21.27,21.27,0.2,20.69,0.0,False
TXN_00004947,ORD_00004947,MERCH_0030,CUST_003557,2024-06-11,2024-06-11 21:51:16,captured,bnpl_4installments,50.0,50.0,47.52,2.48,4.0,12.5,12.5,0.61,,0.718,False
TXN_00004948,ORD_00004948,MERCH_0036,CUST_000487,2024-02-23,2024-02-23 08:07:02,settled,bnpl_3installments,108.56,108.56,104.01,4.55,3.0,36.19,36.19,1.15,35.07,0.439,False
TXN_00004949,ORD_00004949,MERCH_0033,CUST_001005,2024-04-03,2024-04-03 20:07:51,settled,bnpl_4installments,60.7,60.7,59.47,1.23,4.0,15.18,15.18,1.62,17.0,0.493,False
TXN_00004950,ORD_00004950,MERCH_0027,CUST_004538,2024-05-23,2024-05-23 08:13:01,settled,bnpl_3installments,50.0,50.0,48.79,1.21,3.0,16.67,16.67,0.74,37.43,0.202,False
TXN_00004951,ORD_00004951,MERCH_0026,CUST_002263,2024-02-19,2024-02-19 11:06:28,settled,card,289.16,289.16,278.66,10.5,,,,1.86,32.69,0.533,False
TXN_00004952,ORD_00004952,MERCH_0011,CUST_003472,2024-04-25,2024-04-25 20:05:31,settled,bnpl_3installments,98.86,98.86,94.01,4.85,3.0,32.95,32.95,0.9,14.57,0.138,False
TXN_00004953,ORD_00004953,MERCH_0001,CUST_004235,2024-03-11,2024-03-11 16:02:34,settled,bnpl_4installments,50.0,50.0,48.82,1.18,4.0,12.5,12.5,1.02,31.8,0.477,False
TXN_00004954,ORD_00004954,MERCH_0024,CUST_003669,2024-03-29,2024-03-29 09:51:46,settled,card,134.24,134.24,130.12,4.12,,,,1.11,37.37,0.382,False
TXN_00004955,ORD_00004955,MERCH_0002,CUST_000887,2024-05-25,2024-05-25 09:09:37,settled,card,74.64,74.64,72.04,2.6,,,,1.36,18.21,0.523,False
TXN_00004956,ORD_00004956,MERCH_0030,CUST_000692,2024-04-01,2024-04-01 13:45:03,settled,bnpl_4installments,110.12,110.12,104.66,5.46,4.0,27.53,27.53,0.92,33.76,0.343,False
TXN_00004957,ORD_00004957,MERCH_0027,CUST_003711,2024-04-29,2024-04-29 11:32:02,settled,card,71.26,71.26,69.54,1.72,,,,0.67,37.93,0.456,False
TXN_00004958,ORD_00004958,MERCH_0030,CUST_001878,2024-05-17,2024-05-17 09:15:03,settled,card,59.12,59.12,56.19,2.93,,,,1.15,42.47,0.311,False
TXN_00004959,ORD_00004959,MERCH_0019,CUST_002959,2024-04-23,2024-04-23 13:05:03,settled,bnpl_4installments,139.89,139.89,136.9,2.99,4.0,34.97,34.97,0.71,47.74,0.0,False
TXN_00004960,ORD_00004960,MERCH_0020,CUST_001635,2024-05-18,2024-05-18 16:17:31,settled,card,653.52,653.52,634.05,19.47,,,,0.15,39.34,0.252,False
TXN_00004961,ORD_00004961,MERCH_0008,CUST_001611,2024-01-16,2024-01-16 20:25:11,settled,bnpl_3installments,50.0,50.0,48.22,1.78,3.0,16.67,16.67,1.33,25.01,0.537,False
TXN_00004962,ORD_00004962,MERCH_0028,CUST_001489,2024-04-10,2024-04-10 08:01:36,settled,card,50.0,50.0,47.8,2.2,,,,0.98,3.99,0.397,False
TXN_00004963,ORD_00004963,MERCH_0034,CUST_002911,2024-05-05,2024-05-05 13:34:55,settled,bnpl_4installments,116.81,116.81,111.61,5.2,4.0,29.2,29.2,0.73,19.63,0.208,False
TXN_00004964,ORD_00004964,MERCH_0028,CUST_004884,2024-04-21,2024-04-21 15:27:45,settled,bnpl_3installments,834.56,834.56,797.76,36.8,3.0,278.19,278.19,0.87,37.78,0.596,False
TXN_00004965,ORD_00004965,MERCH_0014,CUST_000988,2024-02-23,2024-02-23 12:31:01,settled,bnpl_4installments,223.78,223.78,213.31,10.47,4.0,55.95,55.95,1.71,38.62,0.135,False
TXN_00004966,ORD_00004966,MERCH_0013,CUST_001642,2024-05-23,2024-05-23 16:00:21,settled,card,50.0,50.0,47.59,2.41,,,,0.35,2.9,0.206,False
TXN_00004967,ORD_00004967,MERCH_0029,CUST_002083,2024-03-14,2024-03-14 17:25:10,refunded,bnpl_3installments,150.32,150.32,146.98,3.34,3.0,50.11,50.11,,,0.347,False
TXN_00004968,ORD_00004968,MERCH_0026,CUST_003579,2024-03-25,2024-03-25 21:27:56,settled,bnpl_3installments,99.38,99.38,95.77,3.61,3.0,33.13,33.13,0.99,47.91,0.17,False
TXN_00004969,ORD_00004969,MERCH_0023,CUST_004794,2024-04-16,2024-04-16 21:09:05,settled,bnpl_3installments,50.0,50.0,47.76,2.24,3.0,16.67,16.67,1.69,22.72,0.238,False
TXN_00004970,ORD_00004970,MERCH_0009,CUST_003892,2024-03-07,2024-03-07 09:33:15,failed,bnpl_4installments,181.26,181.26,174.66,6.6,4.0,45.31,45.31,,,0.385,False
TXN_00004971,ORD_00004971,MERCH_0018,CUST_003302,2024-03-03,2024-03-03 08:02:03,settled,bnpl_4installments,137.73,137.73,134.16,3.57,4.0,34.43,34.43,1.57,42.83,0.496,False
TXN_00004972,ORD_00004972,MERCH_0020,CUST_002707,2024-03-07,2024-03-07 14:27:06,settled,bnpl_4installments,143.72,143.72,139.44,4.28,4.0,35.93,35.93,1.78,7.6,0.611,False
TXN_00004973,ORD_00004973,MERCH_0005,CUST_000955,2024-01-12,2024-01-12 18:37:01,settled,card,185.62,185.62,180.46,5.16,,,,1.57,14.44,0.03,False
TXN_00004974,ORD_00004974,MERCH_0032,CUST_003829,2024-04-13,2024-04-13 08:28:37,settled,bnpl_4installments,261.52,261.52,254.72,6.8,4.0,65.38,65.38,0.21,20.68,0.474,False
TXN_00004975,ORD_00004975,MERCH_0003,CUST_000161,2024-05-25,2024-05-25 09:58:16,settled,bnpl_3installments,50.0,50.0,48.95,1.05,3.0,16.67,16.67,0.12,47.41,0.498,False
TXN_00004976,ORD_00004976,MERCH_0038,CUST_001933,2024-04-20,2024-04-20 19:41:16,captured,bnpl_4installments,283.0,283.0,276.72,6.28,4.0,70.75,70.75,0.73,,0.402,False
TXN_00004977,ORD_00004977,MERCH_0005,CUST_004612,2024-03-13,2024-03-13 16:49:35,settled,bnpl_4installments,99.85,99.85,97.07,2.78,4.0,24.96,24.96,1.14,12.16,0.193,False
TXN_00004978,ORD_00004978,MERCH_0018,CUST_004704,2024-04-03,2024-04-03 20:44:54,settled,bnpl_4installments,57.92,57.92,56.42,1.5,4.0,14.48,14.48,1.02,41.11,0.384,False
TXN_00004979,ORD_00004979,MERCH_0005,CUST_002595,2024-04-04,2024-04-04 08:20:15,settled,bnpl_4installments,104.45,104.45,101.55,2.9,4.0,26.11,26.11,0.75,14.74,0.538,False
TXN_00004980,ORD_00004980,MERCH_0017,CUST_004988,2024-05-05,2024-05-05 20:11:02,settled,bnpl_3installments,265.56,265.56,259.53,6.03,3.0,88.52,88.52,1.32,36.04,0.279,False
TXN_00004981,ORD_00004981,MERCH_0038,CUST_002439,2024-04-26,2024-04-26 16:02:51,settled,bnpl_4installments,214.31,214.31,209.55,4.76,4.0,53.58,53.58,1.54,6.03,0.378,False
TXN_00004982,ORD_00004982,MERCH_0032,CUST_003236,2024-04-04,2024-04-04 18:53:38,settled,bnpl_4installments,634.1,634.1,617.61,16.49,4.0,158.53,158.53,0.62,14.83,0.28,False
TXN_00004983,ORD_00004983,MERCH_0032,CUST_001833,2024-01-29,2024-01-29 20:38:33,settled,bnpl_4installments,202.96,202.96,197.68,5.28,4.0,50.74,50.74,1.05,28.61,0.621,False
TXN_00004984,ORD_00004984,MERCH_0030,CUST_004836,2024-04-28,2024-04-28 18:04:12,settled,bnpl_3installments,50.0,50.0,47.52,2.48,3.0,16.67,16.67,0.26,19.66,0.446,False
TXN_00004985,ORD_00004985,MERCH_0027,CUST_003132,2024-03-24,2024-03-24 15:43:07,settled,bnpl_4installments,399.45,399.45,389.78,9.67,4.0,99.86,99.86,1.68,37.14,0.453,False
TXN_00004986,ORD_00004986,MERCH_0019,CUST_000837,2024-02-20,2024-02-20 17:35:47,settled,bnpl_4installments,50.0,50.0,48.93,1.07,4.0,12.5,12.5,0.44,41.82,0.178,False
TXN_00004987,ORD_00004987,MERCH_0007,CUST_001217,2024-05-17,2024-05-17 14:58:24,settled,bnpl_4installments,118.6,118.6,115.11,3.49,4.0,29.65,29.65,0.88,46.27,0.326,False
TXN_00004988,ORD_00004988,MERCH_0004,CUST_003974,2024-04-18,2024-04-18 11:31:18,settled,bnpl_4installments,175.76,175.76,167.45,8.31,4.0,43.94,43.94,1.73,40.69,0.151,False
TXN_00004989,ORD_00004989,MERCH_0016,CUST_001912,2024-05-14,2024-05-14 15:36:17,settled,bnpl_4installments,961.7,961.7,915.83,45.87,4.0,240.43,240.43,1.38,7.95,0.05,False
TXN_00004990,ORD_00004990,MERCH_0021,CUST_003580,2024-03-21,2024-03-21 21:11:48,authorized,card,126.55,126.55,122.54,4.01,,,,,,0.653,False
TXN_00004991,ORD_00004991,MERCH_0033,CUST_004842,2024-03-14,2024-03-14 10:13:47,settled,bnpl_3installments,50.0,50.0,48.99,1.01,3.0,16.67,16.67,1.95,23.26,0.607,False
TXN_00004992,ORD_00004992,MERCH_0037,CUST_000934,2024-05-07,2024-05-07 17:18:37,authorized,bnpl_4installments,310.8,310.8,297.4,13.4,4.0,77.7,77.7,,,0.0,False
TXN_00004993,ORD_00004993,MERCH_0001,CUST_000549,2024-04-13,2024-04-13 17:28:51,settled,bnpl_4installments,394.27,394.27,384.93,9.34,4.0,98.57,98.57,1.34,40.58,0.555,False
TXN_00004994,ORD_00004994,MERCH_0017,CUST_001353,2024-06-14,2024-06-14 19:52:58,settled,card,78.45,78.45,76.67,1.78,,,,0.61,28.59,0.499,False
TXN_00004995,ORD_00004995,MERCH_0009,CUST_000216,2024-03-09,2024-03-09 22:27:54,settled,bnpl_4installments,251.14,251.14,242.0,9.14,4.0,62.78,62.78,0.3,41.23,0.363,False
TXN_00004996,ORD_00004996,MERCH_0033,CUST_003775,2024-02-14,2024-02-14 11:29:03,authorized,bnpl_4installments,54.23,54.23,53.13,1.1,4.0,13.56,13.56,,,0.267,False
TXN_00004997,ORD_00004997,MERCH_0011,CUST_000866,2024-06-14,2024-06-14 21:57:34,settled,bnpl_4installments,148.27,148.27,140.99,7.28,4.0,37.07,37.07,0.27,36.68,0.0,False
TXN_00004998,ORD_00004998,MERCH_0011,CUST_000225,2024-04-30,2024-04-30 09:26:03,settled,bnpl_4installments,198.28,198.28,188.54,9.74,4.0,49.57,49.57,0.66,28.14,0.401,False
TXN_00004999,ORD_00004999,MERCH_0017,CUST_000779,2024-03-13,2024-03-13 18:51:42,settled,bnpl_3installments,159.7,159.7,156.07,3.63,3.0,53.23,53.23,1.94,5.89,0.027,False
TXN_00005000,ORD_00005000,MERCH_0035,CUST_000686,2024-03-13,2024-03-13 21:59:57,settled,bnpl_4installments,185.28,185.28,177.65,7.63,4.0,46.32,46.32,1.3,3.48,0.23,False
TXN_00005001,ORD_00005001,MERCH_0040,CUST_004683,2024-02-12,2024-02-12 11:23:43,settled,card,1067.97,1067.97,1042.87,25.1,,,,1.38,26.42,0.65,False
TXN_00005002,ORD_00005002,MERCH_0038,CUST_003675,2024-04-12,2024-04-12 16:38:32,settled,card,162.97,162.97,159.35,3.62,,,,0.58,23.95,0.327,False
TXN_00005003,ORD_00005003,MERCH_0008,CUST_000685,2024-03-02,2024-03-02 22:09:57,settled,card,78.09,78.09,75.31,2.78,,,,1.14,43.91,0.0,False
TXN_00005004,ORD_00005004,MERCH_0035,CUST_004126,2024-06-08,2024-06-08 15:01:46,settled,card,582.62,582.62,558.62,24.0,,,,0.45,28.85,0.102,False
TXN_00005005,ORD_00005005,MERCH_0033,CUST_000251,2024-04-02,2024-04-02 18:37:18,settled,bnpl_3installments,60.67,60.67,59.44,1.23,3.0,20.22,20.22,1.62,15.85,0.271,False
TXN_00005006,ORD_00005006,MERCH_0005,CUST_004478,2024-03-09,2024-03-09 21:52:54,authorized,card,229.18,229.18,222.81,6.37,,,,,,0.236,False
TXN_00005007,ORD_00005007,MERCH_0017,CUST_002492,2024-06-10,2024-06-10 22:25:57,settled,bnpl_4installments,50.0,50.0,48.86,1.14,4.0,12.5,12.5,0.83,34.56,0.549,False
TXN_00005008,ORD_00005008,MERCH_0008,CUST_003697,2024-06-07,2024-06-07 16:08:10,settled,bnpl_3installments,87.65,87.65,84.53,3.12,3.0,29.22,29.22,1.2,8.59,0.336,False
TXN_00005009,ORD_00005009,MERCH_0034,CUST_004204,2024-03-22,2024-03-22 22:56:22,settled,card,192.01,192.01,183.47,8.54,,,,0.36,41.4,0.279,False
TXN_00005010,ORD_00005010,MERCH_0037,CUST_003608,2024-02-20,2024-02-20 19:59:14,captured,bnpl_3installments,78.64,78.64,75.25,3.39,3.0,26.21,26.21,0.11,,0.616,False
TXN_00005011,ORD_00005011,MERCH_0001,CUST_004417,2024-03-19,2024-03-19 16:23:28,failed,card,205.73,205.73,200.85,4.88,,,,,,0.311,False
